Matrix_Size_N,Trial_Number,NW_Time_Seconds,BH_Time_Seconds
100,42,0.0008122001308947802,0.15617249999195337
100,43,0.0007223000284284353,0.20238350005820394
100,44,0.0006864001043140888,0.14471429982222617
100,45,0.0006522999610751867,0.1657559999730438
100,46,0.0006450999062508345,0.132998300017789
100,47,0.0008972999639809132,0.13330980017781258
100,48,0.0006515998393297195,0.16873960010707378
100,49,0.0007393001578748226,0.16031760000623763
100,50,0.001212799921631813,0.15086960000917315
100,51,0.0006642998196184635,0.1647940999828279
100,52,0.0007495000027120113,0.14453129982575774
100,53,0.0007130000740289688,0.13529460015706718
100,54,0.0006500999443233013,0.14711220003664494
100,55,0.0017033000476658344,0.14026679983362556
100,56,0.0007374000269919634,0.21483859978616238
100,57,0.0010520999785512686,0.1665707000065595
100,58,0.0007168001029640436,0.16286489996127784
100,59,0.0009562999475747347,0.1619464000687003
100,60,0.0006650998257100582,0.15903320000506938
100,61,0.0012935001868754625,0.1763403001241386
100,62,0.0006804000586271286,0.15158589999191463
100,63,0.0006774000357836485,0.1569728998001665
100,64,0.0006481001619249582,0.16409299988299608
100,65,0.0006841002032160759,0.14265340007841587
